,lat,temp,lon,humidity,clouds,wind,city,country
0,-23.1203,25.77,-134.9692,70,100,2.26,rikitea,PF
1,10.2184,28.2,-67.3302,58,51,1.06,la victoria,VE
2,20.5169,34.4,-13.0499,10,6,2.13,atar,MR
3,-38.0023,27.01,-57.5575,44,0,10.29,mar del plata,AR
4,-21.2,27.07,-175.2,77,100,2.09,vaini,TO
5,-0.7393,28.64,-90.3518,84,10,3.13,puerto ayora,EC
6,-3.8004,24.12,102.2655,90,95,1.87,bengkulu,ID
7,-33.5906,20.66,26.891,98,100,1.34,port alfred,ZA
8,-0.6,27.63,73.0833,73,6,4.73,hithadhoo,MV
9,18.6333,28.02,-91.8333,69,0,5.66,carmen,MX
10,22.0752,19.26,-159.319,88,100,3.09,kapaa,US
11,38.8876,15.39,-76.5119,61,0,5.14,mayo,US
12,3.0707,26.8,172.7902,81,44,4.74,butaritari,KI
13,42.6001,12.48,-73.9662,43,65,1.79,albany,US
14,-34.4187,18.78,19.2345,76,98,5.63,hermanus,ZA
15,-53.15,8.46,-70.9167,55,40,11.32,punta arenas,CL
16,-9.8,26.14,-139.0333,71,23,7.87,atuona,PF
17,38.5167,16.22,-28.7,63,75,6.69,ribeira grande,PT
18,42.097,14.81,-79.2353,54,100,7.2,jamestown,US
19,-28.783,25.58,32.0377,91,100,3.34,richards bay,ZA
20,40.1629,17.26,-8.3327,52,27,2.47,lata,PT
21,-54.8,2.81,-68.3,87,100,6.69,ushuaia,AR
22,19.7297,17.05,-155.09,83,40,2.57,hilo,US
23,5.4112,26.96,100.3354,89,20,0.0,georgetown,MY
24,52.655,-21.54,90.0928,100,96,1.66,abaza,RU
25,50.1333,0.6,8.0667,74,22,1.75,bad schwalbach,DE
26,60.9167,-20.88,-46.05,69,19,0.34,narsaq,GL
27,54.5805,2.58,16.8619,75,100,3.07,ustka,PL
28,52.4153,-9.68,60.3411,96,100,3.12,bredy,RU
29,-5.1989,30.08,-35.4608,62,55,6.58,touros,BR
30,-46.1927,11.15,168.8643,90,74,0.42,mataura,NZ
31,-21.2078,26.03,-159.775,94,75,1.54,avarua,CK
32,-33.9258,21.73,18.4232,68,25,6.26,cape town,ZA
33,61.15,-25.66,149.6333,98,100,3.14,ust-omchug,RU
34,27.167,25.32,-82.3332,60,75,6.69,sarasota,US
35,28.1667,15.43,94.7667,58,88,1.59,along,IN
36,-2.2717,25.02,40.902,86,9,6.14,lamu,KE
37,54.4958,-22.28,79.6671,99,67,2.91,dovolnoye,RU
38,-6.9811,32.37,-34.8339,69,86,5.34,cabedelo,BR
39,-41.0667,13.3,145.9167,96,73,3.3,burnie,AU
40,15.0,27.35,-83.2333,64,21,6.4,iralaya,HN
41,-20.5167,25.02,57.5167,75,1,2.56,souillac,MU
42,71.2906,-27.99,-156.7887,76,100,6.17,barrow,US
43,-45.5752,12.97,-72.0662,41,40,3.6,coihaique,CL
44,66.0,-27.05,111.5,100,51,1.75,aykhal,RU
